X,Y,WDSId,SiteId,SiteSpecificName,LegalName,Address,City,County,Latitude,Longitude,CoordinateSystem,HorizontalCollectionMethod,FacilityType,Commercial,CommercialFacility,PermitWorkLoad,CorrectiveActionWorkLoad,FederallyRegulatedTSD,Permitted,CorrectiveActionAndPermit,Hyperlink,Echo,Updated
-83.0612199999999,42.36949,399040,MID980568646,FORMER CARTER COLOR COAT,US EPA/MDEQ SUPERFUND CLEANUP,6051 HASTINGS ST,DETROIT,WAYNE,42.36949,-83.06122,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399040,http://echo.epa.gov/detailed-facility-report?fid=MID980568646,2026/04/22 01:20:07.110+00
-83.20534,42.2834300000001,399042,MID980568711,FORD MOTOR CO ALLEN PK CLAY MINE LF,FORD MOTOR COMPANY ALLEN PARK CM LANDFILL,17005 OAKWOOD BLVD,ALLEN PARK,WAYNE,42.28343,-83.20534,WGS-84,Lat/Long Interpolation,D,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,0,0,0,0,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399042,http://echo.epa.gov/detailed-facility-report?fid=MID980568711,2026/04/22 01:20:07.110+00
-83.63586,43.02795,399043,MID980568745,DELPHI AUTOMOTIVE SYSTEMS LLC,DELPHI AUTOMOTIVE SYSTEMS LLC,1101 N CENTER RD,FLINT,GENESEE,43.02795,-83.63586,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399043,http://echo.epa.gov/detailed-facility-report?fid=MID980568745,2026/04/22 01:20:07.110+00
-83.2847199999999,42.6195500000001,399045,MID980568836,GENERAL MOTORS CORP - PONTIAC CENTERPOINT CAMPUS,GENERAL MOTORS CORP - PONTIAC CENTERPOINT CAMPUS,200 SOUTH BLVD W,PONTIAC,OAKLAND,42.61955,-83.28472,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399045,http://echo.epa.gov/detailed-facility-report?fid=MID980568836,2026/04/22 01:20:07.110+00
-83.55193,42.24269,399048,MID980587893,WILLOW RUN ARSENAL OF DEMOCRACY LANDHOLDINGS ,WILLOW RUN ARSENAL OF DEMOCRACY LHS LP,2930 ECORSE RD,YPSILANTI,WASHTENAW,42.24269,-83.55193,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399048,http://echo.epa.gov/detailed-facility-report?fid=MID980587893,2026/04/22 01:20:07.110+00
-85.65306,42.67645,399050,MID980588495,BUSH OIL CO,BUSH OIL CO,309 CLARK ST,WAYLAND,ALLEGAN,42.67645,-85.65306,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399050,http://echo.epa.gov/detailed-facility-report?fid=MID980588495,2026/04/22 01:20:07.110+00
-82.9646999999999,42.36292,399102,MID980615298,PETRO-CHEM PROCESSING GROUP OF NORTRU LLC,PETRO-CHEM PROCESSING GROUP OF NORTRU LLC,421 LYCASTE ST,DETROIT,WAYNE,42.36292,-82.9647,WGS-84,Lat/Long Interpolation,TS,is a commercial operation that <strong>accepts</strong> hazardous waste,is a commercial operation that accepts hazardous waste,-1,-1,-1,-1,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399102,http://echo.epa.gov/detailed-facility-report?fid=MID980615298,2026/04/22 01:20:07.110+00
-84.19919,43.5825300000001,399133,MID980617435,DOW CHEMICAL COMPANY-SALZBURG LANDFILL,THE DOW CHEMICAL COMPANY,2314 SALZBURG RD,MIDLAND,MIDLAND,43.58253,-84.19919,WGS-84,Lat/Long Interpolation,D,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,-1,-1,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399133,http://echo.epa.gov/detailed-facility-report?fid=MID980617435,2026/04/22 01:20:07.110+00
-85.57106,42.8352,399160,MID980681696,UNIVAR USA INC- GRAND RAPIDS DIV,UNIVAR USA INC,7025 DUTTON INDUSTRIAL PARK DR SE,CALEDONIA,KENT,42.8352,-85.57106,WGS-84,Lat/Long Interpolation,S,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399160,http://echo.epa.gov/detailed-facility-report?fid=MID980681696,2026/04/22 01:20:07.110+00
-84.58446,42.7413300000001,399177,MID980700827,RACER PLANTS 2 & 3,REVITALIZING AUTO COMMUNITIES ENVIRONMENTAL RESPONSE TRUST,2800-2801WEST SAGINAW ST,LANSING,INGHAM,42.74133,-84.58446,WGS-84,Lat/Long Interpolation,TS,<strong>does not accept</strong> offsite hazardous waste,does not accept offsite hazardous waste,-1,-1,0,0,-1,https://www.egle.state.mi.us/wdspi/Dashboard.aspx?w=399177,http://echo.epa.gov/detailed-facility-report?fid=MID980700827,2026/04/22 01:20:07.110+00
